Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA200,Buy_Signal,Sell_Signal,Balance,Returns
2020-01-02,9489.0,9517.0,9334.0,9400.0,8302.1708984375,984128,,,False,False,10000.0,
2020-01-03,9689.0,9778.0,9540.0,9616.0,8492.943359375,1915922,,,False,False,10000.0,0.0
2020-01-06,9870.0,9910.0,9595.0,9687.0,8555.65234375,2037366,,,False,False,10000.0,0.0
2020-01-07,9428.0,9518.0,9234.0,9442.0,8339.2666015625,1416482,,,False,False,10000.0,0.0
2020-01-08,9749.0,9750.0,9298.0,9345.0,8253.5947265625,3190360,54.37201907790143,,False,True,10000.0,0.0
2020-01-09,8877.0,8950.0,8684.0,8941.0,7896.77685546875,2456115,72.21684414327203,,False,True,10000.0,0.0
2020-01-10,8800.0,8889.0,8718.0,8832.0,7800.50830078125,1345466,92.33261339092873,,False,True,10000.0,0.0
2020-01-13,8748.0,8931.0,8754.0,8833.0,7801.3916015625,1342426,99.88317757009345,,False,True,10000.0,0.0
2020-01-14,8618.0,8734.0,8501.0,8734.0,7713.953125,2439136,99.85915492957747,,False,True,10000.0,0.0
2020-01-15,8750.0,8944.0,8724.0,8776.0,7751.04833984375,1395348,93.43511450381679,,False,True,10000.0,0.0
2020-01-16,8864.0,8963.0,8799.0,8903.0,7863.2158203125,1295386,55.026455026455025,,False,True,10000.0,0.0
2020-01-17,8902.0,9050.0,8810.0,8939.0,7895.0107421875,2625714,32.459016393442624,,False,False,10000.0,0.0
2020-01-20,8927.0,9331.0,9000.0,9297.0,8211.2001953125,1813798,14.954682779456192,,False,False,10000.0,0.0
2020-01-21,9385.0,9540.0,9004.0,9099.0,8036.32470703125,3093915,26.01839684625493,,False,False,10000.0,0.0
2020-01-22,9126.0,9334.0,9073.0,9107.0,8043.39013671875,1237377,27.23521320495186,,False,False,10000.0,0.0
2020-01-23,9188.0,9251.0,8978.0,9165.0,8094.61669921875,1560014,30.091185410334347,,False,False,10000.0,0.0
2020-01-24,9072.0,9142.0,8900.0,9141.0,8073.42041015625,941093,34.365325077399376,,False,False,10000.0,0.0
2020-01-27,9403.0,9631.0,9256.0,9367.0,8273.0244140625,3036526,43.190661478599225,,False,False,10000.0,0.0
2020-01-28,9267.0,9280.0,9024.0,9034.0,7978.91650390625,1756235,55.00770416024653,,False,True,10000.0,0.0
2020-01-29,8858.0,8953.0,8729.0,8891.0,7852.61669921875,1305381,63.775510204081634,,False,True,10000.0,0.0
2020-01-30,9242.0,9576.0,9200.0,9528.0,8415.2236328125,3684102,36.68378576669113,,False,False,10000.0,0.0
2020-01-31,9421.0,9876.0,9419.0,9779.0,8636.90625,2714392,29.937106918238996,,False,False,10000.0,0.0
2020-02-03,9442.0,9793.0,9362.0,9671.0,8541.5205078125,2748727,39.67391304347826,,False,False,10000.0,0.0
2020-02-04,9500.0,9653.0,9220.0,9310.0,8222.681640625,1855855,40.8,,False,False,10000.0,0.0
2020-02-05,9305.0,9324.0,8956.0,9180.0,8107.865234375,1934057,40.28244788164089,,False,False,10000.0,0.0
2020-02-06,9051.0,9647.0,9136.0,9486.0,8378.126953125,2255804,51.816608996539784,,False,True,10000.0,0.0
2020-02-07,9675.0,10471.0,9615.0,10319.0,9113.841796875,3615021,34.464902186421185,,False,False,10000.0,0.0
